City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
159,mejit,10.2753,170.8646,26.35,75,95,10.13,1707451486
160,sitia,35.2,26.0986,12.77,70,0,0.97,1707451869
161,steamboat springs,40.485,-106.8317,-4.69,91,75,1.54,1707451869
162,fortuna,40.5982,-124.1573,8.7,89,100,0.0,1707451511
163,aiken,33.5835,-81.5998,9.16,80,0,0.0,1707451869
164,saldanha,-33.0117,17.9442,14.03,89,0,2.7,1707451513
165,saipan,15.1355,145.701,29.39,65,20,7.72,1707451212
166,klaksvik,62.2266,-6.589,-1.49,56,100,7.44,1707451497
167,nizhneudinsk,54.9076,99.0276,-4.2,83,100,0.99,1707451870
168,yangjiang,21.85,111.9667,10.96,79,100,3.58,1707451871
169,kokpekty,48.75,82.4,-8.15,95,100,3.12,1707451871
170,anadyr,64.75,177.4833,-9.72,85,75,6.0,1707451499
171,roma,43.2128,-75.4557,8.26,55,0,3.6,1707451871
172,plettenberg bay,-34.0527,23.3716,16.5,76,15,2.4,1707451644
173,sarkand,45.41,79.9186,3.65,74,95,2.92,1707451744
174,saranac lake,44.3295,-74.1313,-0.07,80,0,0.0,1707451799
175,norilsk,69.3535,88.2027,-26.48,87,37,2.25,1707451872
176,sinabang,2.4803,96.3801,29.08,72,64,1.63,1707451700
177,ancud,-41.8697,-73.8203,11.86,86,100,1.29,1707451371
178,tralee,52.2704,-9.7026,9.01,97,100,1.45,1707451873
179,kodiak,57.79,-152.4072,0.73,100,100,11.83,1707451501
180,kijang,35.2442,129.2139,6.95,62,97,1.25,1707451761
181,cole harbour,44.6724,-63.4751,-3.29,93,33,3.18,1707451492
182,santa ana,33.7456,-117.8678,13.36,81,75,2.24,1707451613
183,oranjemund,-28.55,16.4333,16.48,90,15,4.28,1707451541
184,altay,47.8667,88.1167,-8.4,75,53,1.6,1707451874
185,seven pagodas,12.6264,80.1722,28.03,72,16,2.01,1707451874
186,vanimo,-2.6741,141.3028,28.85,75,91,5.52,1707451795
187,thompson,55.7435,-97.8558,-14.91,78,100,4.63,1707451411
188,college,64.8569,-147.8028,-14.19,80,20,0.0,1707451202
189,keflavik,64.0049,-22.5624,-7.76,73,0,2.57,1707451502
190,ha'il,27.5219,41.6907,10.01,43,0,3.09,1707451876
191,happy valley-goose bay,53.3168,-60.3315,-9.83,92,20,2.06,1707451222
192,pacocha,-17.5833,-71.3333,24.07,84,92,2.68,1707451877
193,eirunepe,-6.6603,-69.8736,25.06,89,100,0.98,1707451634
194,angaur state,6.906,134.13,27.15,82,97,7.62,1707451877
195,kalmunai,7.4167,81.8167,27.61,69,65,5.45,1707451877
196,talnakh,69.4865,88.3972,-26.89,84,45,2.36,1707451476
197,lagos de moreno,21.35,-101.9167,15.38,26,1,1.36,1707451879
198,nar'yan-mar,67.6713,53.087,-11.05,91,71,4.47,1707451518
199,horad zhodzina,54.0983,28.3325,-3.85,95,61,1.94,1707451880
200,aitape,-3.1374,142.3475,27.53,85,98,4.65,1707451493
201,isafjordur,66.0755,-23.124,-7.54,78,31,2.07,1707451477
202,forquilhinha,-28.7475,-49.4722,22.5,99,55,0.61,1707451881
203,kavalerovo,44.2661,135.0572,-3.03,68,80,2.24,1707451881
204,torrington,41.8007,-73.1212,2.66,82,96,0.45,1707451881
205,udachny,66.4167,112.4,-31.42,67,100,1.38,1707451345
206,port elizabeth,-33.918,25.5701,19.62,81,0,4.12,1707451474
207,saudarkrokur,65.7461,-19.6394,-16.15,90,14,3.73,1707451882
208,jayrud,33.8074,36.7404,2.7,59,80,0.52,1707451827
209,midvagur,62.0511,-7.1939,-1.54,74,75,4.12,1707451542
210,sakakah,29.9697,40.2064,12.76,40,14,3.53,1707451750
211,sile,41.1754,29.6133,11.37,62,6,3.47,1707451882
212,constantia,44.1833,28.65,5.38,69,11,3.88,1707451485
213,bishkek,42.87,74.59,3.11,64,86,2.34,1707451883
214,madang,-5.2246,145.7966,29.82,72,94,3.37,1707451883
215,ghat,24.9647,10.1728,10.57,29,3,0.8,1707451502
216,xapuri,-10.6517,-68.5044,25.42,78,62,1.32,1707451884
217,kill devil hills,36.0307,-75.676,6.66,96,0,0.0,1707451737
218,ndele,8.4109,20.6473,21.66,26,43,2.12,1707451756
219,karak,31.1667,35.75,8.08,62,82,2.0,1707451884
220,lanivtsi,49.8633,26.0908,-0.22,98,100,3.39,1707451885
221,tazoult-lambese,35.4817,6.2607,8.6,32,99,4.86,1707451886
222,usinsk,65.9939,57.5281,-7.18,80,100,8.94,1707451705
223,sittwe,20.15,92.9,24.22,34,1,3.7,1707451887
224,guichon,-32.35,-57.2,27.69,52,4,2.68,1707451592
225,uliastay,47.7417,96.8444,-12.12,96,94,1.39,1707451888
226,vila vicosa,38.7777,-7.4179,12.04,97,100,3.61,1707451888
227,kourou,5.1552,-52.6478,27.03,89,85,3.12,1707451735
228,ilulissat,69.2167,-51.1,-16.99,66,87,10.8,1707451490
229,aberdeen,57.1437,-2.0981,4.27,74,75,8.75,1707451863
230,ust'-ilimsk,58.0006,102.6619,-11.98,96,98,2.93,1707451889
231,chinde,26.8418,88.0763,11.17,42,20,2.02,1707451889
232,buncrana,55.1333,-7.45,2.12,97,100,8.16,1707451890
233,shimoda,34.6667,138.95,8.95,61,70,5.09,1707451890
234,luau,-10.7073,22.2247,18.5,97,100,1.41,1707451532
235,makarov,48.6333,142.8,-10.02,61,63,2.57,1707451890
236,mafinga,-7.25,35.0667,19.59,95,100,0.24,1707451891
237,sabang,5.8933,95.3214,28.23,72,94,7.19,1707451891
238,ushirombo,-3.4919,31.9639,17.71,90,4,0.88,1707451891
239,trondheim,63.4305,10.3951,-1.95,77,55,1.34,1707451708
240,shingu,33.7333,135.9833,10.64,50,85,2.37,1707451509
241,sao jose da coroa grande,-8.8978,-35.1478,26.75,84,63,4.7,1707451892
242,hithadhoo,-0.6,73.0833,28.15,73,100,7.0,1707451496
243,carutapera,-1.195,-46.02,25.42,91,59,2.78,1707451892
244,fale old settlement,-9.3852,-171.2468,29.14,77,100,6.95,1707451509
245,byron bay,-28.65,153.6167,23.73,87,95,4.55,1707451893
246,ponta delgada,37.7333,-25.6667,16.4,72,20,15.43,1707451893
247,carthage,36.8611,10.3316,11.74,58,20,3.09,1707451893
248,geraldton,-28.7667,114.6,44.23,8,0,7.72,1707451686
249,joshua tree,34.1347,-116.3131,7.45,67,3,1.79,1707451894
250,namtsy,62.7161,129.6658,-35.75,93,97,0.57,1707451779
251,tura,25.5198,90.2201,20.97,27,0,0.55,1707451488
252,pampa,35.5362,-100.9599,10.53,46,0,6.69,1707451655
253,qaqortoq,60.7167,-46.0333,-21.59,82,15,3.03,1707451497
254,okahandja,-21.9833,16.9167,21.57,51,49,1.8,1707451895
255,valdosta,30.8327,-83.2785,13.97,84,0,2.57,1707451852
256,holualoa,19.6228,-155.9522,22.91,80,100,3.6,1707451777
257,derzhavinsk,51.1,66.3167,1.19,99,100,8.88,1707451895
258,gamba,-2.65,10.0,25.83,88,100,2.12,1707451493
259,tabou,4.423,-7.3528,25.98,84,7,3.08,1707451895
260,praia da vitoria,38.7333,-27.0667,14.86,82,40,7.94,1707451487
261,muana,-1.5283,-49.2167,24.2,97,34,1.75,1707451896
262,kuching,1.55,110.3333,30.12,79,40,3.13,1707451896
263,mirny,62.5353,113.9611,-28.76,75,100,0.89,1707451896
264,kavaratti,10.5669,72.642,27.67,73,84,1.35,1707451498
265,ikovka,55.6089,64.9375,-8.77,80,54,7.06,1707451896
266,daru,-9.0763,143.2092,27.95,76,100,4.31,1707451477
267,pinarbasi,38.7229,36.3931,-0.42,94,75,2.09,1707451897
268,kertih,4.5141,103.4483,28.98,62,44,4.42,1707451897
269,vilhena,-12.7406,-60.1458,21.61,94,85,1.52,1707451897
270,vadso,70.0744,29.7487,-12.91,92,75,4.63,1707451481
271,san luis,-33.295,-66.3356,21.52,81,100,4.08,1707451715
272,manta,-0.95,-80.7333,26.88,83,100,6.71,1707451707
273,kyelang,32.5833,77.0333,-11.7,45,0,2.66,1707451898
274,west island,-12.1568,96.8225,29.99,74,40,5.66,1707451424
275,peterhead,57.5058,-1.7981,4.22,62,100,12.93,1707451493
276,havelian,34.0536,73.1657,9.35,30,0,2.21,1707451899
277,luderitz,-26.6481,15.1594,17.1,76,9,7.36,1707451518
278,atafu village,-8.5421,-172.5159,29.27,74,100,5.21,1707451492
279,manaure,11.7751,-72.4445,24.99,73,16,4.49,1707451899
280,antalaha,-14.9003,50.2788,25.46,90,100,1.13,1707451751
281,petropavlovsk-kamchatsky,53.0452,158.6483,-5.68,75,75,3.58,1707451523
282,brezina,33.0989,1.2608,10.49,26,100,3.38,1707451836
283,lompoc,34.6391,-120.4579,10.89,82,0,4.12,1707451242
284,shortandy,51.7006,70.9994,1.05,94,100,10.86,1707451900
